id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Cash withdrawal at the counter without check presentation;Smart Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Minimal Bank Services Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;ABANCA International Account;;placeholder - abanca;3,50 ;;;;;
;Online-mobile banking;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;0;;;;;
;Online-mobile banking;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;0;;;;;
;Online-mobile banking;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;0;;;;;
;Online-mobile banking;Bank Account with Direct Deposit Enabled;;placeholder - abanca;0;;;;;
;Online-mobile banking;Standard Account (doesn't admit new hirings);;placeholder - abanca;0;;;;;
;Online-mobile banking;Future Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Kids Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Global Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Basic Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Private Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Value Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Smart Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;Minimal Bank Services Account;;placeholder - abanca;0;;;;;
;Online-mobile banking;ABANCA International Account;;placeholder - abanca;0;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Bank Account with Direct Deposit Enabled;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Standard Account (doesn't admit new hirings);;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Future Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Kids Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Global Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Basic Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Private Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Value Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Smart Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);Minimal Bank Services Account;;placeholder - abanca;3,50 ;;;;;
;Deposit of metal coins (at least 100 coins per day per account);ABANCA International Account;;placeholder - abanca;3,50 ;;;;;
;Account owners change;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;5,00 ;;;;;
;Account owners change;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;5,00 ;;;;;
;Account owners change;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;5,00 ;;;;;
;Account owners change;Bank Account with Direct Deposit Enabled;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Standard Account (doesn't admit new hirings);;placeholder - abanca;5,00 ;;;;;
;Account owners change;Future Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Kids Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Global Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Basic Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Private Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Value Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Smart Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;Minimal Bank Services Account;;placeholder - abanca;5,00 ;;;;;
;Account owners change;ABANCA International Account;;placeholder - abanca;5,00 ;;;;;
;Commission for account maintenance;Bank Account CTT;;placeholder - bancoctt;0;;;;;
;Commission for account maintenance;Junior Account;;placeholder - bancoctt;0;;;;;
;Commission for account maintenance;Base Account;;placeholder - bancoctt;4,5;;;;;
;Commission for account maintenance;Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Monthly statement;Bank Account CTT;;placeholder - bancoctt;0;;;;;
;Monthly statement;Junior Account;;placeholder - bancoctt;0;;;;;
;Monthly statement;Base Account;;placeholder - bancoctt;0;;;;;
;Monthly statement;Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Monthly statement replacement;Bank Account CTT;;placeholder - bancoctt;10;;;;;
;Monthly statement replacement;Junior Account;;placeholder - bancoctt;10;;;;;
;Monthly statement replacement;Base Account;;placeholder - bancoctt;10;;;;;
;Monthly statement replacement;Bank Account with Minimum Services;;placeholder - bancoctt;10;;;;;
;Warning replacement printing and other documents;Bank Account CTT;;placeholder - bancoctt;5;;;;;
;Warning replacement printing and other documents;Junior Account;;placeholder - bancoctt;5;;;;;
;Warning replacement printing and other documents;Base Account;;placeholder - bancoctt;5;;;;;
;Warning replacement printing and other documents;Bank Account with Minimum Services;;placeholder - bancoctt;5;;;;;
;Cash withdrawal at the counter ( >= 2 withdrawals);Bank Account CTT;;placeholder - bancoctt;4,5;;;;;
;Cash withdrawal at the counter ( >= 2 withdrawals);Junior Account;;placeholder - bancoctt;4,5;;;;;
;Cash withdrawal at the counter ( >= 2 withdrawals);Base Account;;placeholder - bancoctt;4,5;;;;;
;Cash withdrawal at the counter ( >= 2 withdrawals);Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Cash deposit at the counter;Bank Account CTT;;placeholder - bancoctt;5;;;;;
;Cash deposit at the counter;Junior Account;;placeholder - bancoctt;5;;;;;
;Cash deposit at the counter;Base Account;;placeholder - bancoctt;5;;;;;
;Cash deposit at the counter;Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Account owner change;Bank Account CTT;;placeholder - bancoctt;7;;;;;
;Account owner change;Junior Account;;placeholder - bancoctt;7;;;;;
;Account owner change;Base Account;;placeholder - bancoctt;7;;;;;
;Account owner change;Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Balance Inquiry at the counter;Bank Account CTT;;placeholder - bancoctt;0,5;;;;;
;Balance Inquiry at the counter;Junior Account;;placeholder - bancoctt;0,5;;;;;
